Time,loneliness
01/01/2004,51
01/02/2004,59
01/03/2004,61
01/04/2004,60
01/05/2004,58
01/06/2004,44
01/07/2004,45
01/08/2004,44
01/09/2004,49
01/10/2004,50
01/11/2004,57
01/12/2004,50
01/01/2005,47
01/02/2005,46
01/03/2005,51
01/04/2005,53
01/05/2005,46
01/06/2005,42
01/07/2005,38
01/08/2005,39
01/09/2005,42
01/10/2005,49
01/11/2005,50
01/12/2005,59
01/01/2006,52
01/02/2006,54
01/03/2006,56
01/04/2006,52
01/05/2006,54
01/06/2006,47
01/07/2006,44
01/08/2006,42
01/09/2006,44
01/10/2006,46
01/11/2006,42
01/12/2006,43
01/01/2007,38
01/02/2007,39
01/03/2007,40
01/04/2007,39
01/05/2007,38
01/06/2007,35
01/07/2007,35
01/08/2007,35
01/09/2007,36
01/10/2007,38
01/11/2007,40
01/12/2007,38
01/01/2008,34
01/02/2008,37
01/03/2008,37
01/04/2008,34
01/05/2008,34
01/06/2008,32
01/07/2008,29
01/08/2008,31
01/09/2008,34
01/10/2008,35
01/11/2008,37
01/12/2008,36
01/01/2009,36
01/02/2009,36
01/03/2009,34
01/04/2009,37
01/05/2009,38
01/06/2009,36
01/07/2009,36
01/08/2009,39
01/09/2009,41
01/10/2009,45
01/11/2009,41
01/12/2009,41
01/01/2010,39
01/02/2010,43
01/03/2010,51
01/04/2010,45
01/05/2010,47
01/06/2010,40
01/07/2010,41
01/08/2010,41
01/09/2010,42
01/10/2010,47
01/11/2010,46
01/12/2010,43
01/01/2011,42
01/02/2011,51
01/03/2011,46
01/04/2011,49
01/05/2011,46
01/06/2011,44
01/07/2011,41
01/08/2011,46
01/09/2011,46
01/10/2011,47
01/11/2011,47
01/12/2011,44
01/01/2012,45
01/02/2012,41
01/03/2012,43
01/04/2012,44
01/05/2012,45
01/06/2012,42
01/07/2012,41
01/08/2012,42
01/09/2012,44
01/10/2012,44
01/11/2012,45
01/12/2012,43
01/01/2013,43
01/02/2013,42
01/03/2013,42
01/04/2013,44
01/05/2013,47
01/06/2013,42
01/07/2013,40
01/08/2013,40
01/09/2013,43
01/10/2013,43
01/11/2013,45
01/12/2013,44
01/01/2014,45
01/02/2014,44
01/03/2014,47
01/04/2014,50
01/05/2014,46
01/06/2014,41
01/07/2014,42
01/08/2014,43
01/09/2014,42
01/10/2014,47
01/11/2014,47
01/12/2014,46
01/01/2015,41
01/02/2015,45
01/03/2015,46
01/04/2015,45
01/05/2015,47
01/06/2015,44
01/07/2015,42
01/08/2015,41
01/09/2015,46
01/10/2015,47
01/11/2015,48
01/12/2015,45
01/01/2016,46
01/02/2016,44
01/03/2016,43
01/04/2016,45
01/05/2016,43
01/06/2016,41
01/07/2016,38
01/08/2016,38
01/09/2016,44
01/10/2016,44
01/11/2016,43
01/12/2016,43
01/01/2017,42
01/02/2017,44
01/03/2017,43
01/04/2017,45
01/05/2017,43
01/06/2017,40
01/07/2017,39
01/08/2017,40
01/09/2017,42
01/10/2017,45
01/11/2017,47
01/12/2017,43
01/01/2018,48
01/02/2018,50
01/03/2018,46
01/04/2018,45
01/05/2018,46
01/06/2018,42
01/07/2018,41
01/08/2018,44
01/09/2018,45
01/10/2018,46
01/11/2018,47
01/12/2018,46
01/01/2019,45
01/02/2019,50
01/03/2019,45
01/04/2019,46
01/05/2019,44
01/06/2019,41
01/07/2019,38
01/08/2019,41
01/09/2019,43
01/10/2019,46
01/11/2019,47
01/12/2019,45
01/01/2020,43
01/02/2020,55
01/03/2020,66
01/04/2020,65
01/05/2020,59
01/06/2020,51
01/07/2020,47
01/08/2020,44
01/09/2020,46
01/10/2020,48
01/11/2020,43
01/12/2020,42
01/01/2021,41
01/02/2021,42
01/03/2021,41
01/04/2021,40
01/05/2021,40
01/06/2021,36
01/07/2021,36
01/08/2021,36
01/09/2021,34
01/10/2021,37
01/11/2021,36
01/12/2021,37
01/01/2022,39
01/02/2022,46
01/03/2022,44
01/04/2022,47
01/05/2022,47
01/06/2022,41
01/07/2022,41
01/08/2022,41
01/09/2022,42
01/10/2022,47
01/11/2022,45
01/12/2022,43
01/01/2023,46
01/02/2023,47
01/03/2023,43
01/04/2023,42
01/05/2023,48
01/06/2023,82
01/07/2023,53
01/08/2023,46
01/09/2023,49
01/10/2023,48
01/11/2023,50
01/12/2023,45
01/01/2024,48
01/02/2024,51
01/03/2024,46
01/04/2024,46
01/05/2024,45
01/06/2024,40
01/07/2024,41
01/08/2024,39
01/09/2024,42
01/10/2024,45
01/11/2024,44
01/12/2024,42
01/01/2025,43
01/02/2025,45
01/03/2025,43
01/04/2025,43
01/05/2025,42
01/06/2025,43
01/07/2025,45
01/08/2025,68
01/09/2025,74
01/10/2025,74
01/11/2025,80
01/12/2025,80
01/01/2026,76
01/02/2026,100
01/03/2026,73
