year,anxiety,depression,insomnia,loneliness,stress
2004-12-31,29.0,83.83333333333333,44.583333333333336,52.333333333333336,58.583333333333336
2005-12-31,29.583333333333332,78.91666666666667,47.75,46.833333333333336,54.333333333333336
2006-12-31,27.583333333333332,69.16666666666667,42.666666666666664,48.0,47.916666666666664
2007-12-31,25.083333333333332,58.333333333333336,41.166666666666664,37.583333333333336,43.666666666666664
2008-12-31,24.416666666666668,56.916666666666664,43.583333333333336,34.166666666666664,43.75
2009-12-31,24.833333333333332,53.666666666666664,57.25,38.333333333333336,42.0
2010-12-31,26.916666666666668,50.75,58.0,43.75,40.416666666666664
2011-12-31,29.0,49.5,56.333333333333336,45.75,40.333333333333336
2012-12-31,33.5,49.416666666666664,54.25,43.25,39.5
2013-12-31,35.833333333333336,48.583333333333336,54.666666666666664,42.916666666666664,39.666666666666664
2014-12-31,38.583333333333336,51.833333333333336,56.666666666666664,45.0,39.5
2015-12-31,42.666666666666664,53.583333333333336,58.0,44.75,40.0
2016-12-31,48.166666666666664,53.916666666666664,58.083333333333336,42.666666666666664,41.0
2017-12-31,54.0,56.833333333333336,61.916666666666664,42.75,42.916666666666664
2018-12-31,57.75,58.75,62.083333333333336,45.5,42.833333333333336
2019-12-31,61.25,58.25,64.25,44.25,43.583333333333336
2020-12-31,63.583333333333336,56.5,71.16666666666667,50.75,44.25
2021-12-31,65.16666666666667,50.416666666666664,69.75,38.0,44.166666666666664
2022-12-31,62.916666666666664,52.5,70.83333333333333,43.583333333333336,47.166666666666664
2023-12-31,60.25,47.666666666666664,72.91666666666667,49.916666666666664,46.166666666666664
2024-12-31,59.833333333333336,45.75,71.41666666666667,44.083333333333336,46.333333333333336
2025-12-31,70.25,51.5,77.58333333333333,56.666666666666664,54.416666666666664
2026-12-31,86.0,67.0,94.0,83.0,79.33333333333333
